"Search entire store here...","Поиск по магазину..."
"Search","Найти"
"Category Navigation:","Каталог"
"Delete","Удалить"
"Products with Special Price","Товары по сниженным ценам"
"Ordered product","Товар под заказ"
"Availability: small","Мало на складе"
"Availability: enough","Много на складе"
"Availability: a lot","Много на складе"
"Please select city","Выберите город"
"Other city","Другой город"
"Legal person","Юридическое лицо или ИП"
"Individual","Физическое лицо"
"Company details","Реквизиты"
"Upload company details file","Загрузить файл с реквизитами"
"Uploading...","Дождитесь окончания загрузки..."
"Upload failed","Произошла ошибка при загрузке"
"Company details file has been uploaded","Файл с рекизитами загружен"