"KPP","КПП"
"Bank Account","Расчетый счет"
"Bank","Банк"
"BIK","БИК"
"INN","ИНН"
"Correspondent Account","Корр. счет"
"Favourite TK","Транспортная компания"
"Favourite Carrier","Предпочитаемая транспортная компания"
"Following details needed for shipping documents","Реквизиты ниже необходимы для документов отгрузки"
"Allocate NDS in the invoice","Выделять в счете НДС"
"Company details","Реквизиты"
"You also may upload file with company details","Вы можете загрузить файл с реквизитами"
"Delete previously uploaded file","Удалить ранее загруженный файл"
"File was not uploaded","Не удалось сохранить файл"